name,generic_name,class,uses,dosage_adults,dosage_children,side_effects,contraindications,interactions,pregnancy,storage,brand_names,mechanism,onset,duration
Paracetamol,Acetaminophen,Analgesic/Antipyretic,Fever;Mild to moderate pain,500-1000mg every 4-6 hours max 4000mg/day,10-15mg/kg every 4-6 hours,Nausea;Rash;Liver damage (overdose),Severe liver disease,Alcohol;Warfarin,Category B - generally safe,Room temperature away from moisture,Crocin;Calpol;Tylenol;Dolo,Inhibits prostaglandin synthesis,30 minutes,4-6 hours
Ibuprofen,Ibuprofen,NSAID,Pain;Inflammation;Fever;Arthritis,200-400mg every 4-6 hours max 1200mg/day,5-10mg/kg every 6-8 hours,Stomach pain;Nausea;Dizziness;Increased bleeding risk,Peptic ulcer;Kidney disease;Pregnancy (3rd trimester),Aspirin;Alcohol;Blood thinners,Avoid in 3rd trimester,Room temperature,Brufen;Advil;Motrin,Inhibits COX enzymes;Reduces prostaglandins,30-60 minutes,4-6 hours
Cetirizine,Cetirizine HCl,Antihistamine,Allergies;Hay fever;Urticaria;Itching,10mg once daily,5mg once daily (6-12 years),Drowsiness;Dry mouth;Headache;Fatigue,Severe kidney impairment,Alcohol;CNS depressants,Category B - consult doctor,Room temperature,Zyrtec;Cetrizet;Alerid,Histamine H1 receptor antagonist,1 hour,24 hours
Metformin,Metformin HCl,Biguanide,Type 2 Diabetes,500mg twice daily max 2000mg/day,Not recommended for children,Diarrhea;Nausea;Vitamin B12 deficiency;Metallic taste,Severe kidney disease;Metabolic acidosis,Alcohol;Contrast dye;Cimetidine,Category B - used for gestational diabetes,Room temperature,Glucophage;Glyciphage;Metsmall,Decreases hepatic glucose production,2-3 hours,12-24 hours
Aspirin,Acetylsalicylic Acid,Salicylate/NSAID,Pain;Fever;Anti-inflammatory;Heart attack prevention,325-650mg every 4 hours (pain);75-100mg daily (cardiac),Not recommended under 16,Stomach bleeding;Tinnitus;Reye's syndrome in children,Peptic ulcer;Bleeding disorders;Children with viral infections,Alcohol;Warfarin;Other NSAIDs,Avoid in 3rd trimester,Room temperature dry place,Disprin;Ecosprin;Aspirin,Irreversible COX inhibitor;Anti-platelet,30 minutes,4-6 hours
Amoxicillin,Amoxicillin,Penicillin antibiotic,Bacterial infections;Ear infections;Pneumonia;UTI,250-500mg every 8 hours,20-40mg/kg/day in divided doses,Diarrhea;Rash;Nausea;Yeast infections,Penicillin allergy,Methotrexate;Oral contraceptives,Category B - generally safe,Refrigerate suspension,Amoxil;Mox;Clavam,Bacterial cell wall synthesis inhibitor,1-2 hours,6-8 hours
Omeprazole,Omeprazole,Proton Pump Inhibitor,Acid reflux;GERD;Peptic ulcer,20-40mg daily,Not recommended under 1 year,Headache;Diarrhea;Vitamin B12 deficiency,Clopidogrel use,Clopidogrel;Diazepam,Category C - consult doctor,Room temperature,Losec;Omez;Risek,Inhibits gastric acid secretion,1 hour,24 hours
Atorvastatin,Atorvastatin,Statin,High cholesterol,10-80mg daily,Not recommended under 10 years,Muscle pain;Nausea;Liver problems,Active liver disease,Grapefruit juice;Cyclosporine,Category X - contraindicated,Room temperature,Atorva;Lipitor;Storvas,HMG-CoA reductase inhibitor,2 weeks,24 hours
Levothyroxine,Levothyroxine,Thyroid hormone,Underactive thyroid,25-200mcg daily,1.6mcg/kg/day,Palpitations;Weight loss;Anxiety,Thyrotoxicosis,Calcium;Iron supplements;Soy,Category A - safe in pregnancy,Room temperature away from light,Thyronorm;Eltroxin;Synthroid,Replaces thyroid hormone,3-5 days,7 days
Salbutamol,Albuterol,Beta-2 agonist,Asthma;COPD,1-2 puffs every 4-6 hours,1 puff every 4-6 hours,Tremors;Headache;Fast heartbeat,Cardiac arrhythmias,Beta-blockers;Diuretics,Category C - risk/benefit assessment,Room temperature,Asthalin;Ventolin;ProAir,Bronchodilator,5 minutes,4-6 hours